NodeLabel                           	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate	Data Coverage
-                                   	   185	   184	    30	        0.008024	        0.002147	        0.029988	       16.996673	        96.89%
-                                   	   186	   185	    48	        0.009087	        0.002541	        0.032490	       18.006594	        96.08%
-                                   	   187	   186	   179	        0.009902	        0.002827	        0.034685	       18.249984	       100.00%
-                                   	   188	   187	    98	        0.011106	        0.003283	        0.037574	       11.551620	        90.53%
-                                   	   189	   188	   173	        0.014050	        0.004274	        0.046185	       10.525197	        99.91%
-                                   	   190	   189	    84	        0.018776	        0.005970	        0.059047	        7.015403	        98.38%
-                                   	   191	   190	   171	        0.019816	        0.006420	        0.061166	        6.969484	       100.00%
-                                   	   192	   191	   168	        0.021432	        0.007100	        0.064700	        7.939282	       100.00%
-                                   	   193	   192	    46	        0.026086	        0.009110	        0.074693	        5.182572	        74.15%
-                                   	   194	   193	    64	        0.030286	        0.011426	        0.080273	        4.530749	        98.20%
-                                   	   195	   194	     3	        0.036315	        0.014708	        0.089660	        3.589141	        99.73%
-                                   	   196	   195	   159	        0.063873	        0.027493	        0.148395	        3.091336	       100.00%
-                                   	   197	   196	   146	        0.098256	        0.044067	        0.219078	        2.711417	       100.00%
-                                   	   198	   197	   141	        0.112264	        0.052173	        0.241565	        2.548629	       100.00%
-                                   	   199	   198	   137	        0.133779	        0.064189	        0.278814	        2.190527	       100.00%
-                                   	   200	   199	   119	        0.222510	        0.111059	        0.402870	        1.778506	       100.00%
-                                   	   201	   200	   111	        0.236835	        0.122679	        0.402870	        1.444020	       100.00%
-                                   	   202	   201	    17	        0.260322	        0.160502	        0.402870	        1.367096	        52.10%
-                                   	   203	   202	   109	        0.282995	        0.198789	        0.402870	        1.140318	       100.00%
-                                   	   204	   203	   108	        0.343903	        0.254629	        0.464477	        1.000000	       100.00%
-                                   	   205	   204	   106	        0.343903	               -	               -	        1.000000	       100.00%
